,Security Description,Record Date,Average Interest Rate Amount
767,Treasury Notes,4/30/20,2.069
768,Treasury Bonds,4/30/20,3.764
781,Treasury Bills,3/31/20,1.216
782,Treasury Notes,3/31/20,2.097
783,Treasury Bonds,3/31/20,3.784
798,Treasury Bills,2/29/20,1.643
799,Treasury Notes,2/29/20,2.133
800,Treasury Bonds,2/29/20,3.803
813,Treasury Bills,1/31/20,1.683
814,Treasury Notes,1/31/20,2.144
815,Treasury Bonds,1/31/20,3.841
830,Treasury Bills,12/31/19,1.761
831,Treasury Notes,12/31/19,2.148
832,Treasury Bonds,12/31/19,3.852
846,Treasury Bills,11/30/19,1.84
847,Treasury Notes,11/30/19,2.156
848,Treasury Bonds,11/30/19,3.863
867,Treasury Bills,10/31/19,1.975
868,Treasury Notes,10/31/19,2.161
869,Treasury Bonds,10/31/19,3.88
878,Treasury Bills,9/30/19,2.136
879,Treasury Notes,9/30/19,2.163
880,Treasury Bonds,9/30/19,3.892
893,Treasury Bills,8/31/19,2.226
894,Treasury Notes,8/31/19,2.173
895,Treasury Bonds,8/31/19,3.903
909,Treasury Bills,7/31/19,2.341
910,Treasury Notes,7/31/19,2.178
911,Treasury Bonds,7/31/19,3.959
926,Treasury Bills,6/30/19,2.417
927,Treasury Notes,6/30/19,2.177
928,Treasury Bonds,6/30/19,3.969
942,Treasury Notes,5/31/19,2.167
943,Treasury Bonds,5/31/19,3.979
956,Treasury Bills,5/31/19,2.474
958,Treasury Bills,4/30/19,2.488
959,Treasury Notes,4/30/19,2.163
960,Treasury Bonds,4/30/19,3.991
980,Treasury Bills,3/31/19,2.49
981,Treasury Notes,3/31/19,2.148
982,Treasury Bonds,3/31/19,3.999
989,Treasury Bills,2/28/19,2.467
990,Treasury Notes,2/28/19,2.137
991,Treasury Bonds,2/28/19,4.006
1005,Treasury Bonds,1/31/19,4.047
1019,Treasury Bills,1/31/19,2.437
1020,Treasury Notes,1/31/19,2.122
1022,Treasury Notes,12/31/18,2.103
1023,Treasury Bonds,12/31/18,4.055
1036,Treasury Bills,12/31/18,2.368
1038,Treasury Bills,11/30/18,2.293
1039,Treasury Notes,11/30/18,2.083
1040,Treasury Bonds,11/30/18,4.061
1054,Treasury Bills,10/31/18,2.203
1055,Treasury Notes,10/31/18,2.06
1056,Treasury Bonds,10/31/18,4.085
1069,Treasury Bills,9/30/18,2.118
1070,Treasury Notes,9/30/18,2.021
1071,Treasury Bonds,9/30/18,4.09
1087,Treasury Bills,8/31/18,2.042
1088,Treasury Notes,8/31/18,2.005
1089,Treasury Bonds,8/31/18,4.097
1102,Treasury Bills,7/31/18,1.969
1103,Treasury Notes,7/31/18,1.988
1104,Treasury Bonds,7/31/18,4.107
1118,Treasury Bills,6/30/18,1.891
1119,Treasury Notes,6/30/18,1.957
1120,Treasury Bonds,6/30/18,4.115
1133,Treasury Bills,5/31/18,1.808
1134,Treasury Notes,5/31/18,1.946
1135,Treasury Bonds,5/31/18,4.122
1150,Treasury Bills,4/30/18,1.694
1151,Treasury Notes,4/30/18,1.928
1152,Treasury Bonds,4/30/18,4.149
1165,Treasury Bills,3/31/18,1.6
1166,Treasury Notes,3/31/18,1.897
1167,Treasury Bonds,3/31/18,4.156
1181,Treasury Bills,2/28/18,1.442
1182,Treasury Notes,2/28/18,1.886
1183,Treasury Bonds,2/28/18,4.162
1197,Treasury Bills,1/31/18,1.338
1198,Treasury Notes,1/31/18,1.873
1199,Treasury Bonds,1/31/18,4.172
1214,Treasury Bills,12/31/17,1.248
1215,Treasury Notes,12/31/17,1.854
1216,Treasury Bonds,12/31/17,4.18
1230,Treasury Bills,11/30/17,1.165
1231,Treasury Notes,11/30/17,1.847
1232,Treasury Bonds,11/30/17,4.188
1256,Treasury Bills,10/31/17,1.099
1257,Treasury Notes,10/31/17,1.844
1258,Treasury Bonds,10/31/17,4.2
1265,Treasury Bills,9/30/17,1.071
1266,Treasury Notes,9/30/17,1.832
1267,Treasury Bonds,9/30/17,4.208
1278,Treasury Bills,8/31/17,1.035
1279,Treasury Notes,8/31/17,1.822
1280,Treasury Bonds,8/31/17,4.217
1294,Treasury Bills,7/31/17,0.972
1295,Treasury Notes,7/31/17,1.822
1296,Treasury Bonds,7/31/17,4.257
1309,Treasury Bills,6/30/17,0.895
1310,Treasury Notes,6/30/17,1.813
1311,Treasury Bonds,6/30/17,4.266
1325,Treasury Bills,5/31/17,0.798
1326,Treasury Notes,5/31/17,1.806
1327,Treasury Bonds,5/31/17,4.275
1341,Treasury Bills,4/30/17,0.731
1342,Treasury Notes,4/30/17,1.807
1343,Treasury Bonds,4/30/17,4.324
1357,Treasury Bills,3/31/17,0.664
1358,Treasury Notes,3/31/17,1.801
1359,Treasury Bonds,3/31/17,4.333
1374,Treasury Bills,2/28/17,0.571
1375,Treasury Notes,2/28/17,1.795
1376,Treasury Bonds,2/28/17,4.34
1391,Treasury Bills,1/31/17,0.543
1392,Treasury Notes,1/31/17,1.796
1393,Treasury Bonds,1/31/17,4.352
1409,Treasury Bills,12/31/16,0.504
1410,Treasury Notes,12/31/16,1.788
1411,Treasury Bonds,12/31/16,4.362
1425,Treasury Bills,11/30/16,0.442
1426,Treasury Notes,11/30/16,1.782
1427,Treasury Bonds,11/30/16,4.37
1442,Treasury Bonds,10/31/16,4.417
1457,Treasury Bills,10/31/16,0.416
1458,Treasury Notes,10/31/16,1.784
1460,Treasury Bills,9/30/16,0.4
1461,Treasury Notes,9/30/16,1.785
1462,Treasury Bonds,9/30/16,4.429
1477,Treasury Bills,8/31/16,0.394
1478,Treasury Notes,8/31/16,1.789
1479,Treasury Bonds,8/31/16,4.441
1494,Treasury Bills,7/31/16,0.396
